slug,name,type,star_rating,status,source
27-north,27 North,hotel,4,reviewed,Hotels.com: 4-star
alila-napa-valley,Alila Napa Valley,hotel,5,reviewed,Forbes + Expedia: 5-star
andaz-napa-by-hyatt,"Andaz Napa, by Hyatt",hotel,4,reviewed,Multiple: 4-star
appellation-healdsburg,Appellation Healdsburg,hotel,5,corrected,User: 4.5 rounded to 5
archer-hotel-napa,Archer Hotel Napa,hotel,4,reviewed,HRS: 4-star; AAA Four Diamond
auberge-du-soleil,Auberge du Soleil,hotel,5,reviewed,Forbes Five-Star 10 years
autocamp-sonoma,AutoCamp Sonoma,hotel,3,reviewed,AllHotels: 3-star
bardessono-hotel-and-spa,Bardessono Hotel and Spa,hotel,5,reviewed,Forbes Five-Star; Michelin
bella-luna-inn,Bella Luna Inn,inn,3,needs_review,Travel Weekly: First Class
boho-manor,Boho Manor,inn,3,needs_review,Expedia: 3.5; AllHotels: 3
brannan-cottage-inn,Brannan Cottage Inn,inn,3,needs_review,KAYAK/Expedia: 3-star
calderwood-inn,Calderwood Inn,inn,4,needs_review,KAYAK: 4-star B&B
calistoga-inn-restaurant-and-brewery-calistoga-ca,Calistoga Inn Restaurant & Brewery,inn,3,needs_review,AllHotels: 3-star
calistoga-wayside-inn,Calistoga Wayside Inn,inn,3,needs_review,Small B&B; estimated 3
calistoga-wine-way-inn,Calistoga Wine Way Inn,inn,4,needs_review,AllHotels: 4-star (****)
camellia-inn,Camellia Inn,inn,3,needs_review,Orbitz: 3.5; KAYAK: 3
candlelight-inn-napa-valley,Candlelight Inn Napa Valley,inn,3,needs_review,B&B; estimated 3
carneros-resort-and-spa,Carneros Resort and Spa,resort,4,corrected,User: 4 (was 5)
castello-victorian-inn,Castello Victorian Inn,inn,3,needs_review,Small inn; estimated 3
chateau-de-vie,Chateau de Vie,hotel,3,needs_review,Hotels.com/Expedia: 3.0
cottage-grove-inn,Cottage Grove Inn,inn,3,needs_review,Travel Weekly: First Class; consensus 3
cottage-inn-and-spa,Cottage Inn & Spa,inn,4,needs_review,Orbitz: 3.5; Booking 9.4/10
cottages-on-river-road,Cottages On River Road,inn,3,needs_review,Hotels.com: 2.5; other: 3
craftsman-inn,Craftsman Inn,inn,4,needs_review,AllHotels: 4-star
creekside-inn-and-resort,Creekside Inn & Resort,resort,3,needs_review,KAYAK/AllHotels: 3
dawn-ranch,Dawn Ranch,resort,4,needs_review,AllHotels: 4-star (****)
dr-wilkinsons-backyard-resort-and-mineral-springs,Dr. Wilkinson's Backyard Resort,resort,4,needs_review,Google Hotels: 4; Design Hotels
duchamp-healdsburg,Duchamp Healdsburg,hotel,4,needs_review,Expedia: 3.5; luxury-positioned
el-bonita-motel,El Bonita Motel,hotel,3,reviewed,HRS: 3-star; AllHotels: 3
